GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Movies,ru.netology.homework,MoviesManager,35,93,3,5,5,20,3,7,1,5
Movies,ru.netology.homework,Movie,178,15,32,0,6,1,29,1,13,1
